Thu May 15 11:29:42 2025

test
hudiya
80
11 13
 
-1
-858993460 -858993460
24 39 1
24 38 1
24 37 1
24 36 1
24 35 1
24 34 1
24 33 1
24 32 1
24 31 1
24 30 1
24 29 1
24 28 1
24 27 1
24 26 1
24 25 1
24 24 1
24 23 1
24 22 1
24 21 1
24 20 1
24 19 1
24 18 1
24 17 1
24 16 1
24 15 1
24 14 1
24 13 1
24 12 1
24 11 1
24 10 1
24 9 1
24 8 1
24 7 1
24 6 1
24 5 1
24 4 1
24 3 1
24 2 1
24 1 1
24 0 1
23 39 1
23 0 1
22 39 1
22 0 1
21 39 1
21 0 1
20 39 1
20 0 1
19 39 1
19 0 1
18 39 1
18 0 1
17 39 1
17 0 1
16 39 1
16 0 1
15 39 1
15 0 1
14 39 1
14 0 1
13 39 1
13 11 2
13 10 2
13 9 2
13 8 2
13 7 2
13 6 2
13 5 2
13 4 2
13 3 2
13 2 1
13 1 1
13 0 1
12 39 1
12 2 1
12 1 1
12 0 1
11 39 1
11 2 1
11 1 1
11 0 1
10 39 1
10 2 1
10 1 1
10 0 1
9 39 1
9 4 1
9 3 1
9 2 1
9 1 1
9 0 1
8 39 1
8 4 1
8 3 1
8 2 1
8 1 1
8 0 1
7 39 1
7 4 1
7 3 1
7 2 1
7 1 1
7 0 1
6 39 1
6 4 1
6 3 1
6 2 1
6 1 1
6 0 1
5 39 1
5 4 1
5 3 1
5 2 1
5 1 1
5 0 1
4 39 1
4 4 1
4 3 1
4 2 1
4 1 1
4 0 1
3 39 1
3 4 1
3 3 1
3 2 1
3 1 1
3 0 1
2 39 1
2 4 1
2 3 1
2 2 1
2 1 1
2 0 1
1 39 1
1 4 1
1 3 1
1 2 1
1 1 1
1 0 1
0 39 1
0 38 1
0 37 1
0 36 1
0 35 1
0 34 1
0 33 1
0 32 1
0 31 1
0 30 1
0 29 1
0 28 1
0 27 1
0 26 1
0 25 1
0 24 1
0 23 1
0 22 1
0 21 1
0 20 1
0 19 1
0 18 1
0 17 1
0 16 1
0 15 1
0 14 1
0 13 1
0 12 1
0 11 1
0 10 1
0 9 1
0 8 1
0 7 1
0 6 1
0 5 1
0 4 1
0 3 1
0 2 1
0 1 1
0 0 1
